Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
24_Apr_2023,Madrid Masters,Clay,R32,2,32,(1)Alcaraz d. (26)Grigor Dimitrov [BUL],6-2 7-5,,1.74,5.90%,0.00%,68.60%,74.30%,75.00%,2-Jan,1:30
24_Apr_2023,Madrid Masters,Clay,R64,2,41,(1)Alcaraz d. Emil Ruusuvuori [FIN],2-6 6-4 6-2, (ch),0.91,10.00%,1.00%,69.00%,63.80%,58.10%,11-Sep,2:16
17_Apr_2023,Barcelona,Clay,F,2,5,(1)Alcaraz d. (2)Stefanos Tsitsipas [GRE],6-3 6-4, (ch),1.9,6.30%,2.10%,77.10%,81.10%,72.70%,2-Jan,1:18
17_Apr_2023,Barcelona,Clay,SF,2,26,(1)Alcaraz d. (12)Daniel Evans [GBR],6-2 6-2, (ch),1.62,7.80%,0.00%,64.70%,69.70%,55.60%,4-Mar,1:20
17_Apr_2023,Barcelona,Clay,QF,2,38,(1)Alcaraz d. (10)Alejandro Davidovich Fokina [ESP],7-6(5) 6-4,,1.04,1.10%,3.40%,55.70%,67.30%,46.20%,11-Aug,2:10
17_Apr_2023,Barcelona,Clay,R16,2,25,(1)Alcaraz d. (13)Roberto Bautista Agut [ESP],6-3 7-5,,1.23,4.00%,4.00%,56.00%,61.90%,54.50%,7-Apr,1:53
17_Apr_2023,Barcelona,Clay,R32,2,79,(1)Alcaraz d. Nuno Borges [POR],6-3 6-1,,1.91,0.00%,4.70%,48.80%,76.20%,68.20%,2-Jan,1:03
20_Mar_2023,Miami Masters,Hard,SF,1,11,(10)Jannik Sinner [ITA] d. (1)Alcaraz,6-7(4) 6-4 6-2, (ch),0.81,4.40%,8.00%,54.90%,66.10%,41.20%,12-Jun,3:01
20_Mar_2023,Miami Masters,Hard,QF,1,10,(1)Alcaraz d. (9)Taylor Fritz [USA],6-4 6-2, (ch),1.52,11.10%,0.00%,68.50%,75.70%,64.70%,2-Feb,1:18
20_Mar_2023,Miami Masters,Hard,R16,1,19,(1)Alcaraz d. (16)Tommy Paul [USA],6-4 6-4, (ch),1.59,5.40%,5.40%,60.70%,79.40%,68.20%,1-Jan,1:36
20_Mar_2023,Miami Masters,Hard,R32,1,76,(1)Alcaraz d. Dusan Lajovic [SRB],6-0 7-6(5), (ch),1.39,4.60%,0.00%,75.40%,71.40%,43.80%,3-Feb,1:31
20_Mar_2023,Miami Masters,Hard,R64,1,100,(1)Alcaraz d. Facundo Bagnis [ARG],6-0 6-2,,1.99,7.50%,5.00%,52.50%,81.00%,52.60%,2-Jan,1:04
6_Mar_2023,Indian Wells Masters,Hard,F,2,6,(1)Alcaraz d. (5)Daniil Medvedev [RUS],6-3 6-2, (ch),1.87,2.00%,0.00%,75.50%,81.10%,58.30%,0/0,1:10
6_Mar_2023,Indian Wells Masters,Hard,SF,2,13,(1)Alcaraz d. (11)Jannik Sinner [ITA],7-6(4) 6-3, (ch),1.08,6.90%,1.40%,72.20%,73.10%,45.00%,2-Jan,1:52
6_Mar_2023,Indian Wells Masters,Hard,QF,2,10,(1)Alcaraz d. (8)Felix Auger Aliassime [CAN],6-4 6-4, (ch),1.55,3.40%,3.40%,62.10%,80.60%,59.10%,4-Mar,2:00
6_Mar_2023,Indian Wells Masters,Hard,R16,2,56,(1)Alcaraz d. Jack Draper [GBR],6-2 2-0 RET,,3.02,11.10%,0.00%,74.10%,80.00%,85.70%,3-Mar,0:46
6_Mar_2023,Indian Wells Masters,Hard,R32,2,36,(1)Alcaraz d. (31)Tallon Griekspoor [NED],7-6(4) 6-3, (ch),1.25,0.00%,4.20%,61.10%,75.00%,67.90%,2-Feb,1:41
6_Mar_2023,Indian Wells Masters,Hard,R64,2,94,(1)Alcaraz d. (Q)Thanasi Kokkinakis [AUS],6-3 6-3, (ch),2.56,2.30%,2.30%,63.60%,82.10%,87.50%,0/0,1:16
20_Feb_2023,Rio De Janeiro,Clay,F,2,13,(2)Cameron Norrie [GBR] d. (1)Alcaraz,5-7 6-4 7-5, (ch),0.98,3.50%,3.50%,67.80%,66.70%,40.50%,16-Oct,2:41
20_Feb_2023,Rio De Janeiro,Clay,SF,2,139,(1)Alcaraz d. (Q)Nicolas Jarry [CHI],6-7(2) 7-5 6-0, (ch),1.32,5.30%,3.20%,64.90%,70.50%,63.60%,5-Apr,2:42
20_Feb_2023,Rio De Janeiro,Clay,QF,2,80,(1)Alcaraz d. Dusan Lajovic [SRB],6-4 7-6(0),,1.25,1.30%,1.30%,62.30%,70.80%,51.70%,8-May,1:54
20_Feb_2023,Rio De Janeiro,Clay,R16,2,86,(1)Alcaraz d. Fabio Fognini [ITA],6-7(5) 6-2 6-4,,1.17,2.20%,0.00%,69.90%,61.50%,46.40%,0/5,2:47
20_Feb_2023,Rio De Janeiro,Clay,R32,2,556,(1)Alcaraz d. (WC)Mateus Alves [BRA],6-4 6-4, (ch),1.33,7.00%,7.00%,66.70%,73.70%,47.40%,4-Feb,1:56
13_Feb_2023,Buenos Aires,Clay,F,2,12,(1)Alcaraz d. (2)Cameron Norrie [GBR],6-3 7-5, (ch),1.28,5.10%,3.40%,64.40%,76.30%,52.40%,2-Jan,1:33
13_Feb_2023,Buenos Aires,Clay,SF,2,74,(1)Alcaraz d. Bernabe Zapata Miralles [ESP],6-2 6-2, (ch),1.76,6.30%,0.00%,68.80%,72.70%,60.00%,2-Jan,1:16
13_Feb_2023,Buenos Aires,Clay,QF,2,90,(1)Alcaraz d. (Q)Dusan Lajovic [SRB],6-4 6-2, (ch),1.42,2.00%,7.80%,64.70%,69.70%,50.00%,5-Mar,1:33
13_Feb_2023,Buenos Aires,Clay,R16,2,57,(1)Alcaraz d. Laslo Djere [SRB],6-2 4-6 6-2, (ch),1.35,5.50%,0.00%,69.90%,72.50%,68.20%,7-Jun,2:00
31_Oct_2022,Paris Masters,Hard,QF,1,18,Holger Rune [DEN] d. (1)Alcaraz,6-3 6-6 RET,,0.98,5.00%,1.70%,63.30%,81.60%,54.50%,4-Mar,1:40
31_Oct_2022,Paris Masters,Hard,R16,1,28,(1)Alcaraz d. Grigor Dimitrov [BUL],6-1 6-3, (ch),1.54,2.10%,6.40%,63.80%,76.70%,47.10%,4-Mar,1:11
31_Oct_2022,Paris Masters,Hard,R32,1,38,(1)Alcaraz d. Yoshihito Nishioka [JPN],6-4 6-4, (ch),1.91,19.60%,2.20%,73.90%,85.30%,66.70%,0/1,1:12
24_Oct_2022,Basel,Hard,SF,1,9,(3)Felix Auger Aliassime [CAN] d. (1)Alcaraz,6-3 6-2, (ch),0.54,0.00%,6.10%,69.40%,61.80%,33.30%,8-May,1:21
24_Oct_2022,Basel,Hard,QF,1,15,(1)Alcaraz d. (5)Pablo Carreno Busta [ESP],6-3 6-4,,1.33,1.60%,3.10%,67.20%,76.70%,47.60%,5-Apr,1:39
24_Oct_2022,Basel,Hard,R16,1,35,(1)Alcaraz d. Botic Van De Zandschulp [NED],6-4 6-2, (ch),1.36,1.70%,1.70%,75.00%,73.30%,46.70%,2-Jan,1:26
24_Oct_2022,Basel,Hard,R32,1,45,(1)Alcaraz d. Jack Draper [GBR],3-6 6-2 7-5, (ch),1.01,1.10%,2.20%,76.90%,67.10%,42.90%,7-Apr,2:17
3_Oct_2022,Astana,Hard,R32,1,66,(LL)David Goffin [BEL] d. (1)Alcaraz,7-5 6-3, (ch),0.74,1.30%,1.30%,72.00%,48.10%,47.60%,11-Jun,1:46
18_Sep_2022,Davis Cup Finals RR: ESP vs KOR,Hard,RR,1,74,Alcaraz d. Soon Woo Kwon [KOR],6-4 7-6(1),,,,,,,,,
16_Sep_2022,Davis Cup Finals RR: ESP vs CAN,Hard,RR,1,13,Felix Auger Aliassime [CAN] d. Alcaraz,6-7(3) 6-4 6-2,,,,,,,,,
29_Aug_2022,US Open,Hard,F,4,7,(3)Alcaraz d. (5)Casper Ruud [NOR],6-4 2-6 7-6(1) 6-3, (ch),1,10.60%,2.30%,64.40%,74.10%,51.10%,10-Jul,3:20
29_Aug_2022,US Open,Hard,SF,4,26,(3)Alcaraz d. (22)Frances Tiafoe [USA],6-7(6) 6-3 6-1 6-7(5) 6-3, (ch),1.35,4.00%,2.00%,70.00%,74.30%,60.00%,7-Apr,4:19
29_Aug_2022,US Open,Hard,QF,4,13,(3)Alcaraz d. (11)Jannik Sinner [ITA],6-3 6-7(7) 6-7(0) 7-5 6-3, (ch),1.16,3.00%,3.00%,65.10%,62.70%,59.30%,16-Sep,5:15
29_Aug_2022,US Open,Hard,R16,4,17,(3)Alcaraz d. (15)Marin Cilic [CRO],6-4 3-6 6-4 4-6 6-3, (ch),1.01,2.10%,2.80%,72.00%,62.10%,60.00%,9-Apr,3:54
29_Aug_2022,US Open,Hard,R32,4,43,(3)Alcaraz d. Jenson Brooksby [USA],6-3 6-3 6-3, (ch),1.5,10.80%,4.10%,70.30%,75.00%,45.50%,4-Jan,2:11
29_Aug_2022,US Open,Hard,R64,4,78,(3)Alcaraz d. Federico Coria [ARG],6-2 6-1 7-5,,1.38,3.90%,2.90%,71.60%,67.10%,55.20%,13/14,2:10
29_Aug_2022,US Open,Hard,R128,4,37,(3)Alcaraz d. Sebastian Baez [ARG],7-5 7-5 2-0 RET,,1.16,1.00%,6.00%,62.00%,67.70%,52.60%,10-Aug,2:30
15_Aug_2022,Cincinnati Masters,Hard,QF,4,11,(9)Cameron Norrie [GBR] d. (3)Alcaraz,7-6(4) 6-7(4) 6-4, (ch),1.16,4.70%,3.70%,64.50%,69.60%,65.80%,8-May,3:03
15_Aug_2022,Cincinnati Masters,Hard,R16,4,17,(3)Alcaraz d. (14)Marin Cilic [CRO],7-6(4) 6-1,,1.71,12.70%,6.30%,66.70%,83.30%,52.40%,3-Feb,1:39
15_Aug_2022,Cincinnati Masters,Hard,R32,4,72,(3)Alcaraz d. (WC)Mackenzie Mcdonald [USA],6-3 6-2, (ch),2.43,12.80%,2.60%,51.30%,85.00%,78.90%,0/0,1:05
8_Aug_2022,Canada Masters,Hard,R32,4,34,Tommy Paul [USA] d. (2)Alcaraz,6-7(4) 7-6(7) 6-3, (ch),0.96,3.20%,3.20%,65.60%,67.10%,44.20%,15/19,3:20
25_Jul_2022,Umag,Clay,F,5,10,(2)Jannik Sinner [ITA] d. (1)Alcaraz,6-7(5) 6-1 6-1, (ch),0.73,2.70%,4.00%,66.70%,62.00%,56.00%,9-Apr,2:25
25_Jul_2022,Umag,Clay,SF,5,168,(1)Alcaraz d. (Q)Giulio Zeppieri [ITA],7-5 4-6 6-3, (ch),1.18,2.90%,4.80%,58.70%,67.20%,51.20%,13-Sep,2:55
25_Jul_2022,Umag,Clay,QF,5,120,(1)Alcaraz d. Facundo Bagnis [ARG],6-0 6-4,,1.58,3.80%,5.80%,61.50%,81.30%,45.00%,1-Jan,1:24
25_Jul_2022,Umag,Clay,R16,5,117,(1)Alcaraz d. (LL)Norbert Gombos [SVK],6-2 6-3,,1.38,3.30%,1.60%,62.30%,71.10%,60.90%,7-Jul,1:37
18_Jul_2022,Hamburg,Clay,F,6,62,Lorenzo Musetti [ITA] d. (1)Alcaraz,6-4 6-7(6) 6-4, (ch),0.94,2.10%,3.10%,66.70%,65.60%,65.60%,6-Feb,2:46
18_Jul_2022,Hamburg,Clay,SF,6,48,(1)Alcaraz d. Alex Molcan [SVK],7-6(2) 6-1, (ch),1.49,3.80%,1.90%,75.50%,72.50%,46.20%,3-Jan,1:33
18_Jul_2022,Hamburg,Clay,QF,6,26,(1)Alcaraz d. (7)Karen Khachanov [RUS],6-0 6-2,,1.93,0.00%,0.00%,73.80%,71.00%,72.70%,1-Jan,1:09
18_Jul_2022,Hamburg,Clay,R16,6,43,(1)Alcaraz d. Filip Krajinovic [SRB],7-6(4) 6-3,,1.23,4.90%,6.60%,70.50%,65.10%,61.10%,3-Jan,1:52
18_Jul_2022,Hamburg,Clay,R32,6,259,(1)Alcaraz d. (WC)Nicola Kuhn [ESP],3-6 6-1 7-6(3), (ch),1.31,1.10%,1.10%,70.80%,74.60%,61.50%,2-Jan,2:26
27_Jun_2022,Wimbledon,Grass,R16,7,13,(10)Jannik Sinner [ITA] d. (5)Alcaraz,6-1 6-4 6-7(8) 6-3, (ch),0.79,7.40%,2.50%,66.90%,65.40%,57.50%,12-Aug,3:35
27_Jun_2022,Wimbledon,Grass,R32,7,36,(5)Alcaraz d. (32)Oscar Otte [GER],6-3 6-1 6-2,,2.29,4.70%,4.70%,62.50%,87.50%,62.50%,1-Jan,1:38
27_Jun_2022,Wimbledon,Grass,R64,7,53,(5)Alcaraz d. Tallon Griekspoor [NED],6-4 7-6(0) 6-3,,1.31,9.00%,4.00%,59.00%,81.40%,61.00%,6-May,2:06
27_Jun_2022,Wimbledon,Grass,R128,7,155,(5)Alcaraz d. Jan Lennard Struff [GER],4-6 7-5 4-6 7-6(3) 6-4,,1.15,17.60%,4.10%,65.30%,75.70%,55.90%,8-Jun,4:11
23_May_2022,Roland Garros,Clay,QF,6,3,(3)Alexander Zverev [GER] d. (6)Alcaraz,6-4 6-4 4-6 7-6(7), (ch),0.86,1.50%,2.30%,61.40%,71.60%,51.00%,8-May,
23_May_2022,Roland Garros,Clay,R16,6,25,(6)Alcaraz d. (21)Karen Khachanov [RUS],6-1 6-4 6-4,,1.49,3.50%,1.20%,53.50%,78.30%,60.00%,4-Mar,
23_May_2022,Roland Garros,Clay,R32,6,30,(6)Alcaraz d. (27)Sebastian Korda [USA],6-4 6-4 6-2,,1.53,1.20%,1.20%,63.00%,76.50%,70.00%,5-May,2:09
23_May_2022,Roland Garros,Clay,R64,6,44,(6)Alcaraz d. Albert Ramos [ESP],6-1 6-7(7) 5-7 7-6(2) 6-4, (ch),1.25,6.30%,1.30%,69.60%,71.80%,56.30%,7-Jan,
23_May_2022,Roland Garros,Clay,R128,6,142,(6)Alcaraz d. (LL)Juan Ignacio Londero [ARG],6-4 6-2 6-0,,1.9,3.00%,0.00%,68.70%,80.40%,61.90%,0/0,
2_May_2022,Madrid Masters,Clay,F,9,3,(7)Alcaraz d. (2)Alexander Zverev [GER],6-3 6-1, (ch),3.23,2.60%,0.00%,71.10%,88.90%,72.70%,0/0,1:02
2_May_2022,Madrid Masters,Clay,SF,9,1,(7)Alcaraz d. (1)Novak Djokovic [SRB],6-7(5) 7-5 7-6(5), (ch),1.01,2.90%,2.90%,66.90%,73.60%,51.10%,6-May,3:35
2_May_2022,Madrid Masters,Clay,QF,9,4,(7)Alcaraz d. (3)Rafael Nadal [ESP],6-2 1-6 6-3, (ch),1.05,5.70%,4.30%,55.70%,66.70%,51.60%,9-Jun,2:28
2_May_2022,Madrid Masters,Clay,R16,9,11,(7)Alcaraz d. (9)Cameron Norrie [GBR],6-4 6-7(4) 6-3,,1.01,6.70%,3.80%,69.50%,71.20%,43.80%,9-Jul,2:39
2_May_2022,Madrid Masters,Clay,R32,9,27,(7)Alcaraz d. Nikoloz Basilashvili [GEO],6-3 7-5,,1.44,7.40%,1.90%,64.80%,65.70%,57.90%,5-Feb,1:23
18_Apr_2022,Barcelona,Clay,F,11,19,(5)Alcaraz d. (8)Pablo Carreno Busta [ESP],6-3 6-2, (ch),2.88,5.30%,2.60%,68.40%,88.50%,75.00%,0/0,1:05
18_Apr_2022,Barcelona,Clay,SF,11,25,(5)Alcaraz d. (10)Alex De Minaur [AUS],6-7(4) 7-6(4) 6-4, (ch),1.05,2.20%,2.20%,58.30%,72.80%,43.10%,12-Sep,3:39
18_Apr_2022,Barcelona,Clay,QF,11,5,(5)Alcaraz d. (1)Stefanos Tsitsipas [GRE],6-4 5-7 6-2, (ch),1.36,1.20%,2.40%,72.30%,71.70%,60.90%,6-Mar,2:12
18_Apr_2022,Barcelona,Clay,R16,11,101,(5)Alcaraz d. (WC)Jaume Munar [ESP],6-3 6-3,,2.55,6.80%,2.30%,61.40%,77.80%,88.20%,0/0,1:10
18_Apr_2022,Barcelona,Clay,R32,11,71,(5)Alcaraz d. Soon Woo Kwon [KOR],6-1 2-6 6-2,,1.41,1.50%,3.00%,56.70%,81.60%,44.80%,7-Apr,1:33
11_Apr_2022,Monte Carlo Masters,Clay,R32,11,42,Sebastian Korda [USA] d. (8)Alcaraz,7-6(2) 6-7(5) 6-3, (ch),1,0.90%,3.80%,64.20%,61.80%,44.70%,10-Mar,3:02
21_Mar_2022,Miami Masters,Hard,F,16,8,(14)Alcaraz d. (6)Casper Ruud [NOR],7-5 6-4, (ch),1.26,8.80%,2.90%,70.60%,75.00%,45.00%,8-Jun,1:52
21_Mar_2022,Miami Masters,Hard,SF,16,10,(14)Alcaraz d. (8)Hubert Hurkacz [POL],7-6(5) 7-6(2), (ch),1.27,3.70%,0.00%,71.60%,77.60%,69.60%,3-Mar,2:02
21_Mar_2022,Miami Masters,Hard,QF,16,48,(14)Alcaraz d. Miomir Kecmanovic [SRB],6-7(5) 6-3 7-6(5), (ch),0.97,4.70%,2.80%,74.50%,78.50%,51.90%,2-Jan,2:23
21_Mar_2022,Miami Masters,Hard,R16,16,5,(14)Alcaraz d. (3)Stefanos Tsitsipas [GRE],7-5 6-3, (ch),1.29,1.40%,2.80%,69.40%,74.00%,45.50%,8-Jul,1:50
21_Mar_2022,Miami Masters,Hard,R32,16,23,(14)Alcaraz d. (21)Marin Cilic [CRO],6-4 6-4,,1.49,3.60%,1.80%,65.50%,77.80%,68.40%,1-Jan,1:35
21_Mar_2022,Miami Masters,Hard,R64,16,55,(14)Alcaraz d. Marton Fucsovics [HUN],6-3 6-2,,1.52,3.60%,5.50%,63.60%,82.90%,55.00%,3-Mar,1:21
7_Mar_2022,Indian Wells Masters,Hard,SF,19,4,(4)Rafael Nadal [ESP] d. (19)Alcaraz,6-4 4-6 6-3, (ch),0.97,1.00%,3.00%,63.00%,60.30%,45.90%,15/21,3:12
7_Mar_2022,Indian Wells Masters,Hard,QF,19,12,(19)Alcaraz d. (12)Cameron Norrie [GBR],6-4 6-3,,1.25,0.00%,1.40%,62.00%,59.10%,48.10%,9-May,1:44
7_Mar_2022,Indian Wells Masters,Hard,R16,19,28,(19)Alcaraz d. (26)Gael Monfils [FRA],7-5 6-1, (ch),2.93,9.30%,2.30%,69.80%,86.70%,76.90%,0/0,1:17
7_Mar_2022,Indian Wells Masters,Hard,R32,19,15,(19)Alcaraz d. (15)Roberto Bautista Agut [ESP],6-2 6-0, (ch),2.12,9.30%,4.70%,62.80%,85.20%,50.00%,1-Jan,1:06
7_Mar_2022,Indian Wells Masters,Hard,R64,19,59,(19)Alcaraz d. Mackenzie Mcdonald [USA],6-3 6-3,,1.32,0.00%,5.30%,57.90%,63.60%,58.30%,6-Apr,1:35
4_Mar_2022,Davis Cup QLS R1: ESP vs ROU,Clay,RR,19,261,Alcaraz d. Marius Copil [ROU],6-4 6-3,,1.48,1.70%,1.70%,66.70%,75.00%,65.00%,2-Feb,1:32
14_Feb_2022,Rio de Janeiro,Clay,F,29,14,(7)Alcaraz d. (3)Diego Schwartzman [ARG],6-4 6-2, (ch),1.53,2.00%,0.00%,68.00%,76.50%,37.50%,4-Feb,1:26
14_Feb_2022,Rio de Janeiro,Clay,SF,29,38,(7)Alcaraz d. Fabio Fognini [ITA],6-2 7-5, (ch),1.24,0.00%,3.90%,68.40%,67.30%,54.20%,6-May,1:45
14_Feb_2022,Rio de Janeiro,Clay,QF,29,6,(7)Alcaraz d. (1)Matteo Berrettini [ITA],6-2 2-6 6-2, (ch),1.19,1.50%,6.10%,62.10%,73.20%,56.00%,0/2,2:02
14_Feb_2022,Rio de Janeiro,Clay,R16,29,37,(7)Alcaraz d. Federico Delbonis [ARG],6-4 7-6(1), (ch),1.22,3.00%,4.50%,63.60%,69.00%,62.50%,0/2,1:49
14_Feb_2022,Rio de Janeiro,Clay,R32,29,89,(7)Alcaraz d. Jaume Munar [ESP],2-6 6-2 6-1, (ch),1.18,2.40%,3.60%,63.10%,62.30%,54.80%,13-Oct,2:15
17_Jan_2022,Australian Open,Hard,R32,31,7,(7)Matteo Berrettini [ITA] d. (31)Alcaraz,6-2 7-6(3) 4-6 2-6 7-6(5), (ch),1.03,7.70%,5.20%,61.90%,74.00%,61.00%,8-May,4:10
17_Jan_2022,Australian Open,Hard,R64,31,39,(31)Alcaraz d. Dusan Lajovic [SRB],6-2 6-1 7-5,,1.58,3.60%,3.60%,73.50%,73.80%,59.10%,0/1,1:56
17_Jan_2022,Australian Open,Hard,R128,31,135,(31)Alcaraz d. (Q)Alejandro Tabilo [CHI],6-2 6-2 6-3,,1.72,17.60%,4.40%,61.80%,78.60%,57.70%,0/1,1:54
8_Nov_2021,NextGen Finals,Hard,F,32,39,(1)Alcaraz d. (2)Sebastian Korda [USA],4-3(5) 4-2 4-2, (ch),1.13,6.70%,1.70%,68.30%,73.20%,47.40%,6-Jun,1:22
8_Nov_2021,NextGen Finals,Hard,SF,32,111,(1)Alcaraz d. (6)Sebastian Baez [ARG],4-2 4-1 4-2, (ch),3.77,18.90%,0.00%,67.60%,84.00%,91.70%,3-Mar,1:02
8_Nov_2021,NextGen Finals,Hard,RR,32,109,(1)Alcaraz d. (7)Holger Rune [DEN],4-3(6) 4-2 4-0, (ch),1.85,18.40%,0.00%,65.30%,87.50%,52.90%,0/0,1:15
8_Nov_2021,NextGen Finals,Hard,RR,32,91,(1)Alcaraz d. (5)Juan Manuel Cerundolo [ARG],4-0 4-1 2-4 4-3(3),,1.19,2.90%,1.40%,75.70%,73.60%,52.90%,10-Sep,1:23
8_Nov_2021,NextGen Finals,Hard,RR,32,63,(1)Alcaraz d. (4)Brandon Nakashima [USA],4-3(4) 4-1 4-3(4), (ch),1.29,15.90%,6.30%,52.40%,87.90%,60.00%,5-Apr,1:26
1_Nov_2021,Paris Masters,Hard,R16,35,103,(Q)Hugo Gaston [FRA] d. Alcaraz,6-4 7-5, (ch),0.72,1.50%,6.10%,53.00%,48.60%,41.90%,12-Jun,1:43
1_Nov_2021,Paris Masters,Hard,R32,35,9,Alcaraz d. (8)Jannik Sinner [ITA],7-6(1) 7-5, (ch),1.32,3.80%,5.10%,57.00%,80.00%,55.90%,2-Jan,2:07
1_Nov_2021,Paris Masters,Hard,R64,35,99,Alcaraz d. (WC)Pierre Hugues Herbert [FRA],6-7(4) 7-6(2) 7-5, (ch),1.18,1.80%,1.80%,62.20%,69.60%,69.00%,5-Mar,2:53
25_Oct_2021,Vienna,Hard,SF,42,4,(2)Alexander Zverev [GER] d. Alcaraz,6-3 6-3,,0.54,2.20%,2.20%,51.10%,73.90%,54.50%,4-Jan,1:08
25_Oct_2021,Vienna,Hard,QF,42,7,Alcaraz d. (3)Matteo Berrettini [ITA],6-1 6-7(2) 7-6(5),,1.42,6.50%,4.30%,66.30%,80.30%,64.50%,0/1,2:40
25_Oct_2021,Vienna,Hard,R16,42,156,Alcaraz d. (WC)Andy Murray [GBR],6-3 6-4,,1.17,4.50%,1.50%,62.10%,58.50%,60.00%,10-Aug,2:06
25_Oct_2021,Vienna,Hard,R32,42,24,Alcaraz d. Daniel Evans [GBR],6-4 6-3, (ch),1.27,5.30%,1.80%,68.40%,64.10%,55.60%,9-Jun,1:25
4_Oct_2021,Indian Wells Masters,Hard,R64,38,121,(WC)Andy Murray [GBR] d. (30)Alcaraz,5-7 6-3 6-2, (ch),0.86,3.10%,3.10%,62.50%,61.70%,47.20%,11-Jul,3:03
30_Aug_2021,US Open,Hard,QF,55,15,(12)Felix Auger Aliassime [CAN] d. Alcaraz,6-3 3-1 RET,,0.66,2.10%,2.10%,61.70%,65.50%,44.40%,7-May,1:08
30_Aug_2021,US Open,Hard,R16,55,141,Alcaraz d. (Q)Peter Gojowczyk [GER],5-7 6-1 5-7 6-2 6-0, (ch),1.25,4.90%,2.80%,65.50%,60.20%,53.10%,18-Nov,3:31
30_Aug_2021,US Open,Hard,R32,55,3,Alcaraz d. (3)Stefanos Tsitsipas [GRE],6-3 4-6 7-6(2) 0-6 7-6(5), (ch),0.91,1.20%,1.20%,63.50%,60.20%,59.70%,17-Sep,4:07
30_Aug_2021,US Open,Hard,R64,55,83,Alcaraz d. Arthur Rinderknech [FRA],7-6(6) 4-6 6-1 6-4,,1.52,7.30%,2.70%,59.10%,84.60%,68.90%,0/1,2:58
